 #       ID        X        Y       PA      INC      vs     vm     d   sig  psfx   psfz  smooth
CGr23_101_o2    14.76    13.47   -39.46    60.66    0.0     80   2.0     0  4.17   73.14    2
CGr23_118_o2    14.86    14.91   -42.15    72.54    0.0     80   2.0     0  4.17   73.14    2
CGr23_119_o2    15.03    14.77   -16.84    58.67    0.0     80   2.0     0  4.17   73.14    2
CGr23_127_o2    15.43    14.89   -89.26    68.28    0.0     80   2.0     0  4.17   73.14    2
 CGr23_33_o2    14.47    14.79   -77.41    38.74    0.0     80   2.0     0  4.17   73.14    2
 CGr23_51_o2    13.98    14.81    86.22    42.27    0.0     80   2.0     0  4.17   73.14    2
 CGr23_70_o2    15.37    14.04    69.40    68.90    0.0     80   2.0     0  4.17   73.14    2
 CGr23_76_o2    14.39    14.94   -76.59    63.90    0.0     80   2.0     0  4.17   73.14    2
 CGr23_83_o2    14.71    14.29   -48.80    35.90    0.0     80   2.0     0  4.17   73.14    2
 CGr23_85_o2     9.69     9.75   -38.36    53.13    0.0     80   2.0     0  4.17   73.14    2
