# Vrot_low Vrot    Vrot_high log(Mstar)        
  1.0E-10  1.0E-10 1.0E-10   6.257186992129681 
  1.0E-10  1.0E-10 1.0E-10   6.457186984391751 
  1.0E-10  1.0E-10 1.0E-10   6.657186991902542 
  1.0E-10  1.0E-10 1.0E-10   6.857186995472815 
  1.0E-10  1.0E-10 1.0E-10   7.057187012973473 
  35.668   41.3951 46.3016   7.257186992129681 
  36.7301  42.6589 48.0762   7.457186999548195 
  39.3751  46.4003 52.1058   7.65718701102868  
  43.2172  51.4212 57.322    7.857187007540592 
  47.0235  56.54   62.7815   8.057187012973474 
  49.7123  61.6884 68.6683   8.257187016151025 
  53.6654  67.2197 74.9193   8.457187014704639 
  57.8504  73.2206 81.4896   8.65718702059175  
  63.0161  78.7747 88.4837   8.85718702564226  
  69.6905  85.777  95.714    9.057187012973474 
  77.5767  93.8486 104.195   9.257187040172367 
  88.0689  103.546 113.771   9.457187029861082 
  99.8342  115.085 125.315   9.657187039717886 
  114.345  128.372 138.811   9.857187037710036 
  133.625  146.075 157.174   10.057187051044735
  153.413  166.403 179.055   10.257187040172367
  176.296  191.018 206.878   10.457187045017523
  207.364  222.933 248.93    10.657187049280955
  241.845  259.371 294.654   10.8571870558117  
  286.941  320.378 385.115   11.057187051044735
  378.985  400.95  590.741   11.25718706419371 
  507.611  538.522 676.953   11.457187060173965
  1.0E-10  1.0E-10 1.0E-10   11.65718706840709 
  1.0E-10  1.0E-10 1.0E-10   11.857187067879476
  1.0E-10  1.0E-10 1.0E-10   12.057187089115995
