  ID  ID_LAIGLE        z  flag          ra       dec        Iab 
   4     792151  1.31764     2  149.922662  2.502261  22.840036 
   9     793211  0.66723     3  149.918625  2.504319  23.315784 
  12     793673  1.07078     2  149.923007  2.505410  23.652067 
  23     794850  0.56012     3  149.918595  2.507312  23.496128 
  32     795161  0.47590     3  149.918059  2.505373  21.700016 
  97     799299  1.31890     2  149.909524  2.513074  23.587223 
 167     802199  0.67141     3  149.927701  2.515977  22.705746 
 176     802762  0.34127     3  149.935605  2.518362  23.161243 
 194     803323  0.30700     3  149.937506  2.519198  23.295536 
 196     803399  0.32172     3  149.924547  2.516688  20.698992 
 199     803629  0.45451     2  149.927896  2.519489  23.269960 
 206     803913  0.47372     3  149.925066  2.520671  23.995899 
 209     804111  0.49012     3  149.931972  2.519964  22.713408 
 210     804294  0.67297     3  149.938766  2.519035  22.201376 
 212     804387  0.37265     3  149.936545  2.520858  23.773918 
 216     804520  0.45451     3  149.931365  2.519993  22.083307 
 229     805082  0.47363     3  149.924389  2.521959  23.411633 
 232     805311  0.32112     3  149.933841  2.520331  20.960037 
 233     805460  0.91413     3  149.936310  2.522352  22.898329 
 239     805713  1.43859     3  149.918463  2.522844  23.597168 
 263     806588  0.84642     3  149.924255  2.523609  22.799387 
 309     808868  0.83340     3  149.938898  2.527354  22.795948 
 322     809446  0.32187     3  149.916134  2.523738  20.388607 
 328     809703  0.34407     2  149.918755  2.524440  22.533596 
 375     811768  0.34164     3  149.918487  2.530083  22.637133 
 384     812072  0.83326     3  149.918408  2.532599  24.593565 
 396     812864  0.31802     3  149.924116  2.533622  23.728975 
 409     813622  1.49926     3  149.927082  2.534107  23.066263 
 410     813633  1.25583     2  149.931476  2.533189  23.562830 
 418     814082  1.24377     3  149.921544  2.534866  23.386139 
 429     814680  1.10428     2  149.924291  2.536405  23.516735 
 431     814997  0.37682     3  149.925860  2.535411  23.370859 
 439     816035  0.54922     2  149.923984  2.537375  23.115749 
 448     816989  0.99994     2  149.925845  2.538258  22.824091 
 452     817796  0.55055     3  149.924055  2.538417  20.864630 
 455     818260  0.55041     3  149.922322  2.539461  21.456911 
 460     819125  1.24366     2  149.919880  2.541229  22.600615 
 119     800297  0.78229     3  149.939882  2.514976  -1          
 141     801381  0.83281     2  149.940613  2.517069  25.117298 
 154     801832  1.44513     2  149.935732  2.517382  24.581322 
 172     802381  0.84645     3  149.927947  2.518422  24.816839 
 203     803831  0.96060     3  149.929765  2.520651  25.162039 
 228     805023  0.37578     2  149.932438  2.522207  24.697706 
 234     805476  1.09973     2  149.917428  2.522765  24.515696 
 252     806096  1.41309     2  149.941725  2.519077  22.646746 
 260     806515  0.93215     3  149.937590  2.524188  24.587919 
 306     808608  1.32964     2  149.944623  2.527073  -1          
 308     808841  0.61965     3  149.931188  2.528255  24.969284 
 319     809303  0.53160     3  149.929945  2.528851  24.918753 
 320     809317  0.55018     3  149.924701  2.528418  24.238960 
 336     810113  1.31982     2  149.909570  2.529474  -1          
 376     811814  0.91374     2  149.924827  2.532020  24.300560 
 386     812293  1.27432     3  149.922180  2.533331  25.141359 
 414     813741  0.84671     3  149.919295  2.534880  24.765820 
