ID         ID_LAIGLE  z          flag       ra         dec        Iab 
28 332937   0.70009  3  149.982224  1.79379  22.402342
35 333624   0.46606  3  149.983151  1.796331 23.801702
48 334950   1.05038  2  149.9834 1.798042 24.113924
59 335848   1.42337  2  149.979387  1.79919  24.139164
85 337813   0.9249   2  149.987974  1.802702 23.849066
94 338461   0.46074  3  149.976535  1.802705 22.27741
123   342324   1.24526  3  149.983578  1.809334 23.46171
13 331597   1.49386  2  149.982479  1.793208 23.601355
21 332465   0.34428  3  149.985036  1.794621 24.30294
23 332604   0.92501  2  149.975127  1.794721 24.679407
49 334962   0.91165  2  149.98112   1.79839  24.520645
58 335810   1.44156  2  149.973856  1.799787 24.958225
77 337290   0.7273   3  149.981495  1.801196 24.551315
78 337394   0.34425  2  149.972338  1.801767 25.169434
113   340113   1.46912  2  149.981764  1.806228 24.804253
