  ID  ID_LAIGLE        z  flag          ra       dec        Iab 
   8     864084  0.40678     3  150.052370  2.607816  20.311756 
  11     866970  0.48852     3  150.060350  2.615728  23.211407 
  13     862383  0.50509     2  150.064951  2.608001  22.871054 
  20     868646  0.66813     3  150.065015  2.615987  21.906349 
  21     866265  0.66875     3  150.061336  2.614526  23.273369 
  62     865896  0.73646     3  150.054261  2.612264  22.212318 
  73     859767  0.86056     2  150.062333  2.603734  22.410303 
  75     862692  0.89129     3  150.052928  2.607338  21.956257 
  94     863556  1.00111     2  150.062019  2.610242  23.373823 
 100     864263  1.04347     3  150.064790  2.611655  23.338308 
 108     863317  1.12176     3  150.060789  2.608357  22.339125 
  61     861993  0.71743     3  150.058284  2.607882  24.580370 
  66     868410  0.78872     3  150.056869  2.618513  24.050587 
  76     867753  0.89219     3  150.057178  2.616597  24.042601 
 134     862823  1.41538     2  150.065140  2.609501  24.644850 
