ID                      X    DX      Y    DY     VS   DVS     PA   DPA    INC  DINC     VC   DVC     RC   DRC    SIG  DSIG   CHI2   DOF MEANRESV  MEDRESV  STDRESV  MINRESV  MAXRESV MEANRESD  MEDRESD  STDRESD  MINRESD  MAXRESD    RLAST RLASTSYM 
CGr30_bs_108_o2      16.0   0.0   16.0   0.0   25.9   0.3  -12.6   2.0   23.0   0.0  114.5 125181060.0    8.3 9048063.0   -1.0  -1.0   1.04    84     -1.2     -0.1      5.4    -23.3      9.8     34.9     36.8     10.1      0.0     56.2      5.3      4.1  
CGr30_bs_139_o2      14.0   0.0   15.0   0.0   -3.6   1.0   50.1   1.5   58.0   0.0  109.2   2.0    1.0   0.0   -1.0  -1.0   1.40    82     -2.9     -1.3     11.5    -36.2     22.1     22.3     24.4     19.2      0.0     60.1      6.8      5.8  
CGr30_bs_146_o2      15.0   0.0   15.0   0.0   45.0   0.4  103.1   0.4   66.0   0.0  130.4   0.7    0.9   0.0   -1.0  -1.0   6.74   137     -2.5     -2.1     10.8    -30.9     23.5     32.2     31.4     18.0      0.0     84.1      9.7      7.8  
CGr30_bs_148_o2      15.0   0.0   15.0   0.0  -18.1   0.4 -148.6   4.1   44.0   0.0   36.7  31.0   14.1  12.0   -1.0  -1.0   1.15   392      2.1      0.9     15.2    -49.9     84.7     17.6     15.5     18.8      0.0    101.9     14.2     14.1  
CGr30_bs_154_o2      15.0   0.0   15.0   0.0   -3.9   0.4   85.8   0.4   63.0   0.0  190.1   0.8    0.9   0.0   -1.0  -1.0   4.34   115     -0.0      0.7     10.7    -26.1     28.1     24.0     25.4     22.6      0.0     77.2      7.1      7.1  
CGr30_bs_27_o2       15.0   0.0   15.0   0.0   10.3   0.5  -92.7   1.3   54.0   0.0   71.3   1.2    0.9  -0.0   -1.0  -1.0   0.62    69     -0.8     -0.3      5.7    -22.6     13.6     39.7     39.7     13.0      0.0     62.9      6.0      4.0  
CGr30_bs_45_o2       16.0   0.0   15.0   0.0  -29.4   0.5  100.1   1.0   55.0   0.0  163.0   3.6    6.3   0.2   -1.0  -1.0   2.42   109      4.9      1.2     15.4    -25.8     78.8     48.1     47.0     15.6      0.0    137.2      9.7      3.9  
CGr30_bs_67_o2       15.0   0.0   15.0   0.0  -17.1   0.2  195.4   0.3   44.0   0.0  142.0   0.9    5.2   0.1   -1.0  -1.0   1.49   340      0.1      0.8     11.6    -63.5     39.8     38.5     37.7     20.7      0.0    149.7     12.4     11.4  
CGr30_bs_77_o2       15.0   0.0   15.0   0.0   -9.1   0.9  235.8   1.7   73.0   0.0  118.9   4.8    4.7   0.5   -1.0  -1.0   0.72   110      2.3      0.9     12.2    -25.7     39.9     33.7     37.6     22.1      0.0    102.2     10.3     10.3  
CGr30_bs_79_o2       15.0   0.0   15.0   0.0  -37.8   0.7    6.6   0.6   51.0   0.0  100.4   1.3    0.9   0.0   -1.0  -1.0   1.68   113     -1.0      0.2      9.8    -41.4     22.6     34.8     34.4     16.2      0.0     99.4      7.0      6.0  
CGr30_bs_91_o2       15.0   0.0   15.0   0.0  -22.3   0.3   71.1   0.5   71.0   0.0  154.9   1.7    5.6   0.1   -1.0  -1.0   2.13   168     -3.0     -0.9     14.7    -73.4     31.1     42.4     41.5     18.9      0.0     95.9      9.8      9.2  
