ID                      X    DX      Y    DY     VS   DVS     PA   DPA    INC  DINC     VC   DVC     RC   DRC    SIG  DSIG   CHI2   DOF MEANRESV  MEDRESV  STDRESV  MINRESV  MAXRESV MEANRESD  MEDRESD  STDRESD  MINRESD  MAXRESD    RLAST RLASTSYM 
CGr30_deep_108_o2    15.0   0.0   15.0   0.0   20.8   0.2  -18.2   2.0   23.0   0.0   34.4   1.3    1.0   0.0   -1.0  -1.0   1.71   110     -1.2      0.0      8.5    -29.2     33.1     34.3     36.4     10.3      0.0     54.7      6.6      5.4  
CGr30_deep_139_o2    15.0   0.0   15.0   0.0  -32.0   0.9   53.0   1.1   58.0   0.0  122.3   3.4    2.8   0.4   -1.0  -1.0   3.14    97     -0.6     -0.4     15.8    -47.0     50.0     22.5     27.1     18.2      0.0     78.8      6.8      6.0  
CGr30_deep_146_o2    15.0   0.0   15.0   0.0   33.6   0.3  101.3   0.4   66.0   0.0  135.2   0.7    1.0   0.0   -1.0  -1.0   4.26   156     -2.3     -1.9     10.9    -45.6     21.3     31.7     31.1     18.7      0.0     76.3     10.6      7.1  
CGr30_deep_148_o2    15.0   0.0   15.0   0.0  -19.5   0.3 -145.5   3.7   44.0   0.0   41.1 687.3   15.4 257.8   -1.0  -1.0   1.27   406      0.2      0.6     15.3    -87.7     67.2     19.0     18.0     19.7      0.0    128.4     13.6     13.5  
CGr30_deep_154_o2    15.0   0.0   15.0   0.0  -22.3   0.4   87.0   0.3   63.0   0.0  197.4   1.1    2.3   0.2   -1.0  -1.0  16.23   130      0.8      2.0     19.1    -45.7     42.0     31.2     31.7     26.5      0.0    137.0      8.0      6.2  
CGr30_deep_27_o2     15.0   0.0   15.0   0.0   25.1   0.5  -86.5   1.0   54.0   0.0   84.6   2.1    2.9   0.2   -1.0  -1.0   0.94    83     -1.7     -1.1      5.4    -17.1     11.5     35.7     36.1     11.7      0.0     61.6      7.0      3.1  
CGr30_deep_45_o2     15.0   0.0   15.0   0.0    3.1   0.3   97.5   0.9   55.0   0.0  121.4   2.9    4.4   0.2   -1.0  -1.0   2.01   111      2.9      1.1     12.1    -23.7     58.8     47.2     46.8     12.3      0.0     84.7      8.1      6.2  
CGr30_deep_67_o2     15.0   0.0   15.0   0.0  -22.8   0.2  193.0   0.3   44.0   0.0  140.6   0.7    5.2   0.1   -1.0  -1.0   1.26   366      1.4      0.8     11.5    -54.4     52.9     41.2     39.2     21.1      0.0    195.1     12.6     11.6  
CGr30_deep_77_o2     15.0   0.0   15.0   0.0    0.2   0.9 -126.9   1.3   73.0   0.0  110.3   3.4    4.2   0.6   -1.0  -1.0   1.02   138      1.1      0.8     16.0    -56.5     51.7     30.4     34.8     19.3      0.0     75.1     10.2     10.2  
CGr30_deep_79_o2     15.0   0.0   15.0   0.0  -28.2   0.4    3.6   0.5   51.0   0.0   94.7   1.0    1.0   0.0   -1.0  -1.0   3.27   140     -6.5     -3.1     14.0    -63.5     39.0     37.3     35.8     19.3      0.0    127.7      8.0      7.2  
CGr30_deep_91_o2     15.0   0.0   15.0   0.0  -20.1   0.2   71.4   0.3   71.0   0.0  157.7   1.3    5.7   0.1   -1.0  -1.0   4.81   210      0.4      0.9     14.5    -52.1     64.7     41.5     42.5     18.0      0.0    105.9     10.4     10.1  
